Session Title,Date,Time Start,Time End,Room/Location,Description (Optional)
Mini Rave,9/22/2016,11:00PM,3:00AM,Main Room,Mini Rave Thursday night. you came early so lets start this party off early.
Puzzled: a locked room mystery,9/22/2016,11:00PM,3:00AM,Big Panel Room,From what i can gather its a live action locked in a room game. solve puzzles to make your way out.
Death Note Mafia Thursday,9/22/2016,11:00PM,3:00AM,Panel Room 1,"Come play as Death Note characters in this interpretation of the party game where you must work with a team who could betray you at any moment. In each round, the randomly chosen Kira anonymously removes a player, then all remaining players deliberate who should be sacrificed in the hopes of eliminating Kira. The rules will be explained, so prior knowledge of the game and the series is not necessary. Can the investigators defeat Kira without falling prey to the Death Note?"
turn your passions into a career,9/22/2016,11:00PM,3:00AM,Panel Room 2,Hate your job? Love your job but hate working for someone else? Have a million college degrees but don't use them? Swing by this panel and let's come up with ways you could take your passion and make it a career someway somehow! You just never know!
Crash Course: Final Fantasy!,9/22/2016,11:00PM,12:00AM,Panel Room 3,"Ever wonder what Final Fantasy is all about? Or play the games years ago, and can't quite remember the plots? We've got you covered. You'll learn about when the Evil Old Man in the Moon tried to summon Voltron with a mind-control pyramid scheme, the tree so evil it turned into Darth Vader, and just how hard it is to kill Emperor David Bowie. Welcome to Final Fantasy"
Opening Ceremony,9/23/2016,12:00PM,02:00PM,Main Room,"Come kick off Ramencon year 6 with us! We will give a breakdown of the Events and activities taking place over the weekend, and we have a treat for everyone who comes to Opening Ceremony."
The Humorous World of Harry Potter,9/23/2016,03:00PM,05:00PM,Main Room,"Ready to join the world of Harry Potter? Bring your wand and robe and be prepared for some fantastic fun and games! Oh, and you might want to learn a few spells, perhaps some silencing and deflective ones, since Draco Malfoy and Ronald Weasley will be hosting... Just a head's up."
 Autograph Spike Spencer,9/23/2016,06:00PM,07:00PM,Main Room,Come on by and get autographs with Spike Spencer! Be sure to bring something with you to be signed. Limit of two items per person. Thank you. 
"WHAT HAPPENS AT THE CON, STAYS AT THE CON",9/23/2016,07:00PM,08:00PM,Main Room,"(Stories From The Seamy Underbelly Of Anime Conventions And More, Vol. 1)

Spike's raucous take on what happens behind the scenes in the industry and at the conventions. From after parties to kidnappings and porn stars to bottled up human gases; Spike will keep you laughing while he reads from his book full of hilarious versions of what really happens at the Con. 16 and up only recommended. Copies of this audio CD will be available at the Con. "
Cosplay Foam Fighting,9/23/2016,09:00PM,11:00PM,Main Room,"Cosplay Foam Fighting is a half-contact, live-action combat game. Combatants engage each other in battle with foam-padded boffer weapons and equipment. Come play games such as Big Teams, Capture the Flag, and King of the Hill. (all ages allowed as spectators. Must be 18+ to participate. Anyone under 18+ must have parental or legal guardian consent before participating.)"
The Quest 18+,9/23/2016,11:30PM,01:30AM,Main Room,"This is a strictly over-18 game and I am not going to spoil the fun with a detailed explanation. Some things are better left to the imagination. I will tell you this much: you will not want to miss this, you will remember this for the rest of your life, and you will make new friends during this Quest. Do you remember the show called Let's Make a Deal? Well it's nothing like that... but be sure to fill up your pockets and purses as if you were going to play that game. Remember the Gong Show? No, it's not like the Gong Show either, but you might see some really crazy stunts. Then there is the entire career of Queen... yeah, it might be like that... No, no not really. Hmmm, how do I describe this...? I don't... I won't... You just need to show up with attitude. Prizes for this game? Of course!!

For the safety and the safety of other, we are not letting anyone video tape or take photos in any 18+ events. Also, Anyone caught with a camera or recording device will have to delete the footage (if deemed inappropriat content), and , if said device is not put away, the person or persons resonsible will be removed for the event and/or removed from Ramencon 2016. "
Nerf Wars,9/24/2016,02:00AM,05:00AM,Main Room,"The Gauntlet of Mattock
Wage war with your fellow con goers in Nerf Wars. Can you complete the gauntlet and beat the ""deadly"" obstacles and finish the boss at the end? Guns will be provided. Outside guns are allowed within reason.

Nerf Wars - Tactics
Come wage war with your fellow con goers! Join us in Capture the Flag and Kill the President, where planning and strategy is necessary to out maneuver the other side. Guns will be provided. Outside guns are allowed within reason."
Digileted Censorship in Localization,9/23/2016,12:00PM,01:30PM,Big Panel Room,"Are you a fan of Digimon? If you are, you cannot miss this panel! We will discuss the changes made to the Digimon animated series when it was brought to English speakers. With comparative footage, trivia, and griping about ""Digimon: The Movie,"" any digi-fan is sure to have fun! Panel hosted by ""Virtual Pet Pool Party."" "
